City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vorgashor,67.5833,63.95,55.42,95,100,5.84,RU,1690417944
84,tura,25.5198,90.2201,75.13,97,100,5.14,IN,1690417944
85,pyt-yakh,60.7499,72.8582,60.87,93,90,6.55,RU,1690417944
86,fort leonard wood,37.7057,-92.1572,89.78,51,0,9.22,US,1690417945
87,ilhabela,-23.7781,-45.3581,72.16,63,21,3.58,BR,1690417945
88,karratha,-20.7377,116.8463,70.0,55,99,11.14,AU,1690417945
89,saipan,15.1355,145.701,81.64,100,75,16.11,MP,1690417945
90,sitka,57.0531,-135.33,60.69,82,100,5.75,US,1690417945
91,hede,33.7681,120.2517,84.42,79,19,12.48,CN,1690417945
92,dunedin,-45.8742,170.5036,41.47,90,99,24.7,NZ,1690417741
93,adrar,20.5022,-10.0711,98.13,9,23,25.77,MR,1690417946
94,san antonio de pale,-1.4014,5.6325,73.27,90,100,10.38,GQ,1690417946
95,nemuro,43.3236,145.575,66.47,93,100,5.95,JP,1690417946
96,kerikeri,-35.2268,173.9474,59.92,80,5,4.0,NZ,1690417946
97,lebu,-37.6167,-73.65,47.64,85,71,2.28,CL,1690417946
98,ust-tsilma,65.441,52.1498,58.12,87,100,3.15,RU,1690417947
99,constantia,44.1833,28.65,70.7,79,97,19.15,RO,1690417947
100,isafjordur,66.0755,-23.124,44.62,85,99,10.67,IS,1690417947
101,haiku-pauwela,20.9219,-156.3051,86.02,61,40,25.32,US,1690417947
102,yeraliyev,43.2,51.65,75.67,53,0,7.29,KZ,1690417948
103,chakradharpur,22.7,85.6333,79.18,92,94,7.31,IN,1690417948
104,markovo,57.3206,107.0881,68.95,83,100,2.26,RU,1690417948
105,at taj,24.2049,23.2857,80.96,16,99,6.91,LY,1690417936
106,cabo san lucas,22.8909,-109.9124,93.61,69,20,10.36,MX,1690417749
107,stanley,54.868,-1.6985,56.28,94,75,3.44,GB,1690417949
108,udachny,66.4167,112.4,64.45,67,100,9.57,RU,1690417949
109,kodiak,57.79,-152.4072,60.31,77,100,6.91,US,1690417949
110,guiuan,11.0333,125.7247,84.13,75,94,18.63,PH,1690417949
111,grand falls-windsor,48.9332,-55.6649,64.42,93,41,5.84,CA,1690417949
112,cuauhtemoc,28.4167,-106.8667,84.72,17,2,15.43,MX,1690417950
113,afaahiti,-17.75,-149.2833,75.07,84,81,6.42,PF,1690417950
114,san rafael,-34.6177,-68.3301,51.48,45,100,5.59,AR,1690417844
115,bilibino,68.0546,166.4372,52.32,69,100,4.32,RU,1690417938
116,klyuchi,52.2667,79.1667,71.69,41,100,6.55,RU,1690417950
117,oodweyne,9.4092,45.064,71.04,58,18,21.47,SO,1690417950
118,potiskum,11.7091,11.0694,81.54,55,80,13.42,NG,1690417951
119,camacupa,-12.0167,17.4833,58.68,41,1,3.31,AO,1690417951
120,al burayqah,30.4062,19.5739,83.53,56,0,3.69,LY,1690417951
121,anadyr,64.75,177.4833,54.1,87,75,13.42,RU,1690417951
122,rio grande,-32.035,-52.0986,57.31,86,4,15.86,BR,1690417951
123,quellon,-43.1167,-73.6167,45.05,92,100,5.19,CL,1690417952
124,weno,7.4515,151.8468,82.9,74,24,5.61,FM,1690417952
125,axim,4.8699,-2.2405,76.01,92,100,5.91,GH,1690417952
126,bamboo flat,11.7,92.7167,80.69,89,40,6.91,IN,1690417952
127,san mateo del mar,16.2,-95.0,84.22,74,13,30.27,MX,1690417953
128,naberera,-4.2,36.9333,54.27,93,8,6.78,TZ,1690417953
129,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,60,20,6.71,RU,1690417937
130,kabalo,-6.05,26.9167,72.28,33,97,4.09,CD,1690417953
131,lewistown,40.5992,-77.5714,81.34,73,0,0.0,US,1690417954
132,aginskoye,51.1,114.53,65.84,71,100,11.18,RU,1690417954
133,sona,45.4388,10.8255,67.44,56,20,10.36,IT,1690417954
134,ngara,-2.5122,30.6558,55.04,40,23,2.42,TZ,1690417954
135,peniche,39.3558,-9.3811,66.29,87,92,18.52,PT,1690417955
136,kourou,5.1552,-52.6478,77.05,85,50,6.13,GF,1690417807
137,hawaiian paradise park,19.5933,-154.9731,83.73,79,40,9.22,US,1690417955
138,minjur,13.2667,80.2667,82.42,71,100,15.66,IN,1690417955
139,bafq,31.6128,55.4107,87.6,14,99,2.3,IR,1690417955
140,zaozersk,69.4005,32.4476,50.86,94,100,1.41,RU,1690417956
141,shimoda,34.6667,138.95,89.1,65,22,4.74,JP,1690417956
142,nuku'alofa,-21.1333,-175.2,73.74,56,20,8.05,TO,1690417956
143,santa terezinha,-29.9002,-50.0904,61.52,88,100,12.15,BR,1690417956
144,new norfolk,-42.7826,147.0587,53.71,69,100,3.76,AU,1690417956
145,wailua homesteads,22.0669,-159.378,84.99,72,20,13.8,US,1690417957
146,celestun,20.8667,-90.4,83.62,73,100,17.87,MX,1690417957
147,georgetown,5.4112,100.3354,80.53,94,40,2.3,MY,1690417680
148,pangai,-19.8,-174.35,73.51,68,75,5.75,TO,1690417957
149,arteche,12.2645,125.4048,83.59,72,100,9.22,PH,1690417724
150,longjiang,47.3303,123.1836,74.89,89,100,2.1,CN,1690417957
151,bang saphan,11.2126,99.5117,80.26,83,99,8.19,TH,1690417958
152,kingston,17.997,-76.7936,86.95,79,20,3.44,JM,1690417948
153,xinyuan,37.3,99.0,51.69,71,15,4.18,CN,1690417958
154,trevelin,-43.0858,-71.4639,37.76,93,100,1.77,AR,1690417958
155,enewetak,11.3474,162.3373,83.3,76,100,13.89,MH,1690417958
156,inarajan village,13.2736,144.7484,79.0,97,100,14.85,GU,1690417958
157,chonchi,-42.6128,-73.8092,46.11,97,100,2.06,CL,1690417959
158,bodaybo,57.8506,114.1933,76.21,65,4,1.54,RU,1690417959
159,huanren,41.2647,125.3667,75.83,88,100,4.7,CN,1690417959
160,tazovsky,67.4667,78.7,63.84,81,11,2.55,RU,1690417959
161,itacoatiara,-3.1431,-58.4442,79.18,56,0,0.63,BR,1690417959
162,floro,61.5996,5.0328,58.96,94,100,5.75,NO,1690417678
163,yoichi,43.2039,140.7703,80.58,72,100,1.57,JP,1690417960
164,mwene-ditu,-7.0,23.45,67.95,34,6,3.8,CD,1690417960
165,usogorsk,63.4106,48.6872,57.72,76,100,5.55,RU,1690417960
